Pathway,Genes,Nodes,num_genes
R-HSA-1059683,"['CBL', 'IL6', 'IL6R', 'IL6ST', 'JAK1', 'JAK2', 'PTPN11', 'SOCS3', 'STAT1', 'STAT3', 'TYK2']","[2191, 7306, 7307, 7308, 7568, 7569, 12588, 14862, 15246, 15248, 16940]",11
R-HSA-109704,"['FGF1', 'FGF10', 'FGF16', 'FGF18', 'FGF19', 'FGF2', 'FGF20', 'FGF22', 'FGF23', 'FGF3', 'FGF4', 'FGF6', 'FGF7', 'FGF9', 'FGFR1', 'FGFR2', 'FGFR3', 'FGFR4', 'FLG', 'FLT3', 'FLT3LG', 'FRS2', 'GAB1', 'GAB2', 'IRS1', 'IRS2', 'KL', 'KLB', 'PIK3C3', 'PIK3CA', 'PIK3CB', 'PIK3R1', 'PIK3R2', 'PIK3R4', 'PTPN11', 'TLR9']","[5427, 5428, 5433, 5435, 5436, 5437, 5438, 5440, 5441, 5442, 5443, 5445, 5446, 5448, 5452, 5454, 5455, 5456, 5514, 5527, 5528, 5657, 5744, 5745, 7465, 7466, 7884, 7885, 11667, 11668, 11669, 11673, 11674, 11676, 12588, 16041]",36
R-HSA-110056,"['CDK1', 'IL6', 'IL6R', 'JAK1', 'JAK2', 'MAP2K1', 'MAPK3', 'PTPN11', 'TYK2']","[2621, 7306, 7307, 7568, 7569, 8828, 8875, 12588, 16940]",9
R-HSA-110312,"['MAD2L2', 'PCNA', 'REV1', 'REV3L', 'RFC1', 'RFC2', 'RFC3', 'RFC4', 'RFC5', 'RPA1', 'RPA2', 'RPA3', 'RPS27A', 'UBA52', 'UBB', 'UBC']","[8737, 11328, 13078, 13079, 13085, 13086, 13087, 13088, 13089, 13387, 13388, 13389, 13490, 16963, 16976, 16977]",16
R-HSA-110314,"['CUL4A', 'CUL4B', 'DDB1', 'DTL', 'PCNA', 'POLD1', 'POLD2', 'POLD3', 'POLD4', 'POLE', 'POLE2', 'POLE3', 'POLE4', 'RAD18', 'RBX1', 'RFC1', 'RFC2', 'RFC3', 'RFC4', 'RFC5', 'RPA1', 'RPA2', 'RPA3', 'RPS27A', 'UBA52', 'UBB', 'UBC', 'UBE2B', 'USP1', 'WDR48']","[3682, 3683, 3936, 4420, 11328, 11972, 11973, 11974, 11975, 11978, 11979, 11980, 11981, 12801, 12995, 13085, 13086, 13087, 13088, 13089, 13387, 13388, 13389, 13490, 16963, 16976, 16977, 16980, 17185, 17466]",30
R-HSA-110320,"['NPLOC4', 'PCNA', 'POLH', 'RCHY1', 'RFC1', 'RFC2', 'RFC3', 'RFC4', 'RFC5', 'RPA1', 'RPA2', 'RPA3', 'RPS27A', 'SPRTN', 'UBA52', 'UBB', 'UBC', 'UFD1', 'VCP']","[10306, 11328, 11984, 13008, 13085, 13086, 13087, 13088, 13089, 13387, 13388, 13389, 13490, 15075, 16963, 16976, 16977, 17071, 17292]",19
R-HSA-110328,"['ACD', 'H2AC20', 'H2AC4', 'H2AC6', 'H2AC7', 'H2AC8', 'H2AJ', 'H2AX', 'H2AZ2', 'H2BC1', 'H2BC10', 'H2BC11', 'H2BC12', 'H2BC13', 'H2BC14', 'H2BC15', 'H2BC17', 'H2BC21', 'H2BC26', 'H2BC3', 'H2BC4', 'H2BC5', 'H2BC6', 'H2BC7', 'H2BC8', 'H2BC9', 'H3-4', 'H4C1', 'H4C13', 'H4C16', 'H4C2', 'H4C3', 'H4C4', 'H4C5', 'H4C6', 'H4C8', 'H4C9', 'MBD4', 'MED1', 'NEIL1', 'NEIL2', 'NEIL3', 'NTHL1', 'OGG1', 'POT1', 'SMUG1', 'TDG', 'TERF1', 'TERF2', 'TERF2IP', 'TINF2', 'TPP1']","[140, 6531, 6534, 6535, 6536, 6537, 6538, 6540, 6542, 6543, 6544, 6545, 6546, 6547, 6548, 6549, 6550, 6552, 6553, 6554, 6555, 6556, 6557, 6558, 6559, 6560, 6566, 6578, 6579, 6580, 6581, 6582, 6583, 6584, 6585, 6587, 6588, 8947, 9035, 10014, 10015, 10016, 10430, 10594, 12044, 14764, 15744, 15800, 15801, 15802, 15996, 16520]",52
R-HSA-110330,"['ACD', 'H2AC20', 'H2AC4', 'H2AC6', 'H2AC7', 'H2AC8', 'H2AJ', 'H2AX', 'H2AZ2', 'H2BC1', 'H2BC10', 'H2BC11', 'H2BC12', 'H2BC13', 'H2BC14', 'H2BC15', 'H2BC17', 'H2BC21', 'H2BC26', 'H2BC3', 'H2BC4', 'H2BC5', 'H2BC6', 'H2BC7', 'H2BC8', 'H2BC9', 'H3-4', 'H4C1', 'H4C13', 'H4C16', 'H4C2', 'H4C3', 'H4C4', 'H4C5', 'H4C6', 'H4C8', 'H4C9', 'MID1', 'MPG', 'MUTYH', 'NEIL3', 'OGG1', 'POT1', 'TERF1', 'TERF2', 'TERF2IP', 'TINF2', 'TPP1']","[140, 6531, 6534, 6535, 6536, 6537, 6538, 6540, 6542, 6543, 6544, 6545, 6546, 6547, 6548, 6549, 6550, 6552, 6553, 6554, 6555, 6556, 6557, 6558, 6559, 6560, 6566, 6578, 6579, 6580, 6581, 6582, 6583, 6584, 6585, 6587, 6588, 9205, 9371, 9665, 10016, 10594, 12044, 15800, 15801, 15802, 15996, 16520]",48
R-HSA-110357,"['APEX1', 'HAP1', 'MBD4', 'MED1', 'MID1', 'MPG', 'MUTYH', 'NTHL1', 'OGG1', 'SMUG1', 'TDG']","[822, 6610, 8947, 9035, 9205, 9371, 9665, 10430, 10594, 14764, 15744]",11
R-HSA-110362,"['ADPRS', 'APEX1', 'FEN1', 'HAP1', 'LIG1', 'PARG', 'PARP1', 'PARP2', 'POLB']","[375, 822, 5401, 6610, 8363, 11178, 11183, 11190, 11971]",9
R-HSA-110373,"['APEX1', 'HAP1', 'POLB']","[822, 6610, 11971]",3
R-HSA-110381,"['LIG3', 'POLB', 'XRCC1']","[8364, 11971, 17602]",3
R-HSA-111367,"['LSM10', 'LSM11', 'NCBP1', 'NCBP2', 'SNRPB', 'SNRPD3', 'SNRPE', 'SNRPF', 'SNRPG', 'ZNF473']","[8625, 8626, 9893, 9894, 14807, 14812, 14813, 14814, 14815, 18089]",10
R-HSA-111446,"['BCL2L11', 'DLC1', 'DYNLL1', 'MAPK8']","[1445, 4160, 4483, 8879]",4
R-HSA-111447,"['AKT1', 'AKT2', 'AKT3', 'BAD', 'BCL2', 'BID', 'PPP3CC', 'PPP3R1', 'SFN', 'YWHAB', 'YWHAE', 'YWHAG', 'YWHAH', 'YWHAQ', 'YWHAZ']","[519, 521, 522, 1372, 1441, 1514, 12190, 12191, 14039, 17655, 17656, 17657, 17658, 17659, 17660]",15
R-HSA-111448,"['E2F1', 'PMAIP1', 'TFDP1', 'TFDP2', 'TP53']","[4504, 11904, 15862, 15863, 16487]",5
R-HSA-111452,"['BAK1', 'BID']","[1385, 1514]",2
R-HSA-111453,"['BAD', 'BBC3', 'BCL2', 'BCL2L1', 'BCL2L11', 'BID', 'BMF', 'PMAIP1', 'STAT3']","[1372, 1406, 1441, 1443, 1445, 1514, 1547, 11904, 15248]",9
R-HSA-111457,"['BAK1', 'BAX', 'CYCS', 'DIABLO', 'GSDMD', 'GSDME']","[1385, 1401, 3747, 4124, 6416, 6417]",6
R-HSA-111458,"['APAF1', 'APIP', 'AVEN', 'CARD8', 'CASP9', 'CYCS']","[807, 827, 1310, 2133, 2161, 3747]",6
R-HSA-111459,"['APAF1', 'CASP3', 'CASP7', 'CASP9', 'CYCS', 'XIAP']","[807, 2155, 2159, 2161, 3747, 17577]",6
R-HSA-111463,"['APAF1', 'CASP3', 'CASP7', 'CASP9', 'CYCS', 'DIABLO', 'XIAP']","[807, 2155, 2159, 2161, 3747, 4124, 17577]",7
